0.77,1.68,-0.00,115.19,270.45,175.71,5.86,3.97,0.24,18361
0.77,1.68,0.00,115.19,270.45,175.71,5.86,4.46,0.79,18372
0.76,1.69,-0.00,115.19,270.45,175.71,6.23,5.13,0.18,18383
0.76,1.69,-0.00,115.19,270.45,175.71,6.41,4.76,-0.67,18394
0.76,1.69,0.00,115.19,270.45,175.71,6.84,5.68,-1.46,18405
0.78,1.69,0.00,117.56,270.45,176.86,6.53,4.64,-1.40,18420
0.78,1.69,0.01,117.56,270.45,176.86,5.98,4.21,-0.37,18431
0.77,1.69,0.01,117.56,270.45,176.86,4.94,4.03,-0.12,18443
0.76,1.70,0.01,117.56,270.45,176.86,5.19,3.42,-0.06,18454
0.76,1.69,0.00,117.56,270.45,176.86,5.43,3.23,-0.67,18465
0.76,1.69,0.00,117.56,270.45,176.86,5.55,2.87,-1.16,18476
0.76,1.69,0.01,117.56,270.45,176.86,5.13,3.17,-1.59,18488
0.76,1.69,0.00,117.56,270.45,176.86,5.25,3.36,-1.83,18499
0.77,1.69,0.01,117.56,270.45,176.86,5.62,3.54,-1.83,18510
0.77,1.69,0.00,117.56,270.45,176.86,6.04,4.21,-1.77,18521
0.77,1.69,0.01,117.56,270.45,176.86,5.98,4.76,-1.46,18533
0.77,1.69,0.01,116.37,268.07,175.71,6.29,5.07,-1.16,18545
0.76,1.69,0.01,116.37,268.07,175.71,6.10,5.37,-0.98,18556
0.76,1.69,0.01,116.37,268.07,175.71,6.35,5.25,-1.28,18567
0.76,1.69,0.01,116.37,268.07,175.71,6.04,4.88,-1.16,18578
0.76,1.69,-0.00,116.37,268.07,175.71,5.80,4.64,-1.46,18590
0.76,1.69,0.00,116.37,268.07,175.71,6.23,4.33,-1.28,18601
0.76,1.69,0.00,116.37,268.07,175.71,6.04,4.27,-1.10,18612
0.76,1.69,0.00,116.37,268.07,175.71,6.10,3.85,-0.55,18623
0.76,1.69,-0.00,116.37,268.07,175.71,6.04,3.60,-0.49,18634
0.76,1.69,0.01,116.37,268.07,175.71,5.98,3.48,-0.12,18645
0.76,1.69,0.01,116.37,268.07,175.71,5.62,3.30,-0.12,18656
0.76,1.70,0.01,116.37,269.26,176.86,5.80,3.42,-0.18,18667
0.76,1.70,0.01,116.37,269.26,176.86,5.62,3.60,-0.49,18680
0.76,1.70,0.00,116.37,269.26,176.86,5.43,3.72,-0.43,18691
0.77,1.69,0.00,116.37,269.26,176.86,5.62,4.21,-0.61,18703
0.76,1.69,-0.00,116.37,269.26,176.86,5.31,4.70,-0.12,18714
0.76,1.69,0.00,116.37,269.26,176.86,5.37,4.46,0.00,18726
0.76,1.69,0.00,116.37,269.26,176.86,5.25,3.91,-0.24,18737
0.76,1.70,0.01,116.37,269.26,176.86,4.58,3.85,-0.24,18748
0.76,1.69,0.01,116.37,269.26,176.86,4.58,2.87,-0.49,18759
0.76,1.70,0.00,116.37,269.26,176.86,4.21,2.81,-0.43,18770
0.76,1.69,0.00,116.37,269.26,176.86,4.39,2.99,-0.55,18782
0.76,1.69,-0.00,116.37,269.26,174.56,4.88,3.72,-0.31,18793
0.76,1.69,-0.00,116.37,269.26,174.56,5.07,4.39,0.18,18804
0.76,1.69,0.00,116.37,269.26,174.56,5.37,3.91,0.06,18816
0.75,1.70,0.00,116.37,269.26,174.56,5.00,3.23,0.31,18828
0.75,1.69,-0.00,116.37,269.26,174.56,5.00,2.56,0.00,18839
0.76,1.69,0.00,116.37,269.26,174.56,5.00,2.14,-0.18,18850
0.76,1.69,0.00,116.37,269.26,174.56,5.19,2.14,0.06,18861
0.77,1.70,0.00,116.37,269.26,174.56,5.80,2.99,0.92,18872
0.76,1.69,0.01,116.37,269.26,174.56,6.04,3.54,1.10,18883
0.76,1.69,0.01,116.37,269.26,174.56,6.71,4.33,1.40,18894
0.75,1.69,0.01,116.37,269.26,174.56,6.96,5.31,1.28,18906
0.75,1.68,0.01,116.37,269.26,174.56,6.90,5.13,1.16,18917
0.76,1.69,-0.00,116.37,269.26,174.56,6.90,5.62,1.59,18928
0.76,1.68,0.00,116.37,269.26,174.56,7.08,6.04,1.95,18939
0.76,1.68,0.00,116.37,269.26,174.56,6.96,6.23,2.26,18950
0.76,1.69,0.00,116.37,269.26,174.56,6.71,6.90,2.32,18961
0.76,1.69,0.00,116.37,269.26,174.56,6.29,7.20,2.69,18972
0.76,1.69,0.00,116.37,269.26,174.56,5.55,6.96,2.75,18984
0.76,1.69,0.00,116.37,269.26,174.56,5.49,6.65,2.75,18995
0.77,1.70,0.01,116.37,269.26,174.56,4.64,6.16,2.87,19006
0.77,1.70,-0.00,116.37,269.26,174.56,4.52,6.10,3.48,19017
0.77,1.69,-0.00,116.37,269.26,174.56,4.15,5.92,3.54,19029
0.75,1.69,-0.00,115.19,269.26,176.86,3.60,5.00,3.11,19040
0.75,1.69,-0.00,115.19,269.26,176.86,3.36,3.05,2.56,19051
0.75,1.69,0.00,115.19,269.26,176.86,3.23,1.40,1.34,19063
0.75,1.69,0.00,115.19,269.26,176.86,2.93,-0.55,0.55,19074
